                                                        Base Names                                                        
+------------------------------------------------------------------------------------------------------------------------+
| dec  | sex   | doz  | hex | nif | occ | name                              | base                                | abbv |
| 1229 | 5405  | 865  | 4CD | Y5  | JD  | untetrunmaltrisex                 | untetrunmaltriseximal               | URM  |
| 1230 | 5410  | 866  | 4CE | Y6  | JE  | pentahexunpentoct                 | pentahexunpentoctal                 | PXT  |
| 1231 | 5411  | 867  | 4CF | Y7  | JF  | unpentahexunpentoct               | unpentahexunpentoctal               | UNPN |
| 1232 | 5412  | 868  | 4D0 | Y8  | JG  | tesserhepteleven                  | tesserheptelevenary                 | TESH |
| 1233 | 5413  | 869  | 4D1 | Y9  | JH  | ennunoctosubopt                   | ennunoctosuboptimal                 | ECB  |
| 1234 | 5414  | 86E  | 4D2 | YA  | JI  | binlevaheptoct                    | binlevaheptoctal                    | BVT  |
| 1235 | 5415  | 86X  | 4D3 | YB  | JJ  | hentrihexasnapentaker's dozen     | hentrihexasnapentaker's dozenal     | HKS  |
| 1236 | 5420  | 870  | 4D4 | YC  | JK  | dozunhexasubopt                   | dozunhexasuboptimal                 | DHS  |
| 1237 | 5421  | 871  | 4D5 | YD  | JL  | undozunhexasubopt                 | undozunhexasuboptimal               | UZX  |
| 1238 | 5422  | 872  | 4D6 | YE  | JM  | binhexunhexasubopt                | binhexunhexasuboptimal              | BXM  |
| 1239 | 5423  | 873  | 4D7 | YF  | JN  | triheptunbintetrasept             | triheptunbintetraseptimal           | TRHT |
| 1240 | 5424  | 874  | 4D8 | YG  | JO  | henpentahexasnapentoct            | henpentahexasnapentoctal            | HNNT |
| 1241 | 5425  | 875  | 4D9 | YH  | JP  | malunoctonon                      | malunoctononary                     | MLC  |
| 1242 | 5430  | 876  | 4DA | YI  | JQ  | henbilevasnahexanon               | henbilevasnahexanonary              | HVX  |
| 1243 | 5431  | 877  | 4DB | YJ  | JR  | levunheptahex                     | levunheptahex                       | LHH  |
| 1244 | 5432  | 878  | 4DC | YK  | JS  | tetrundecunpentasex               | tetrundecunpentaseximal             | TDM  |
| 1245 | 5433  | 879  | 4DD | YL  | JT  | tripentunbinpentoct               | tripentunbinpentoctal               | TIPN |
| 1246 | 5434  | 87E  | 4DE | YM  | JU  | biheptunocteleven                 | biheptunoctelevenary                | BPV  |
| 1247 | 5435  | 87X  | 4DF | YN  | JV  | hentetraheptasnunhexasept         | hentetraheptasnunhexaseptimal       | HERH |
| 1248 | 5440  | 880  | 4E0 | YO  | JW  | tesserhexaker's dozen             | tesserhexaker's dozenal             | TSD  |
| 1249 | 5441  | 881  | 4E1 | YP  | JX  | untesserhexaker's dozen           | untesserhexaker's dozenal           | UTK  |
| 1250 | 5442  | 882  | 4E2 | YQ  | JY  | pentapentapentages                | pentapentapentagesimal              | PNG  |
| 1251 | 5443  | 883  | 4E3 | YR  | JZ  | ennunhexunbieleven                | ennunhexunbielevenary               | EHN  |
| 1252 | 5444  | 884  | 4E4 | YS  | Ja  | tetrunbakertetrasex               | tetrunbakertetraseximal             | TKT  |
| 1253 | 5445  | 885  | 4E5 | YT  | Jb  | heptunbinocteleven                | heptunbinoctelevenary               | HCV  |
| 1254 | 5450  | 886  | 4E6 | YU  | Jc  | hentrihexasnahexeleven            | hentrihexasnahexelevenary           | HRV  |
| 1255 | 5451  | 887  | 4E7 | YV  | Jd  | pentundecapentaquin               | pentundecapentaquinary              | PDP  |
| 1256 | 5452  | 888  | 4E8 | YW  | Je  | octundozaker's dozen              | octundozaker's dozenal              | OCZ  |
| 1257 | 5453  | 889  | 4E9 | YX  | Jf  | trinhentrihexasnabieleven         | trinhentrihexasnabielevenary        | TRHN |
| 1258 | 5454  | 88E  | 4EA | YY  | Jg  | bimalunnift                       | bimalunniftimal                     | BMT  |
| 1259 | 5455  | 88X  | 4EB | YZ  | Jh  | unbimalunnift                     | unbimalunniftimal                   | UMF  |
| 1260 | 5500  | 890  | 4EC | Z0  | Ji  | pentaheptanift                    | pentaheptaniftimal                  | PHF  |
| 1261 | 5501  | 891  | 4ED | Z1  | Jj  | bakerunoctodozen                  | bakerunoctodozenal                  | BCD  |
| 1262 | 5502  | 892  | 4EE | Z2  | Jk  | bindecaheptanon                   | bindecaheptanonary                  | BIND |
| 1263 | 5503  | 893  | 4EF | Z3  | Jl  | trinicositrisept                  | trinicositriseptimal                | TRIC |
| 1264 | 5504  | 894  | 4F0 | Z4  | Jm  | tesserunhexaker's dozen           | tesserunhexaker's dozenal           | THD  |
| 1265 | 5505  | 895  | 4F1 | Z5  | Jn  | henbilevasnapenteleven            | henbilevasnapentelevenary           | HVL  |
| 1266 | 5510  | 896  | 4F2 | Z6  | Jo  | hexundecatrisept                  | hexundecatriseptimal                | HDR  |
| 1267 | 5511  | 897  | 4F3 | Z7  | Jp  | heptunennaviges                   | heptunennavigesimal                 | HVG  |
| 1268 | 5512  | 898  | 4F4 | Z8  | Jq  | tetruntetrunhexaker's dozen       | tetruntetrunhexaker's dozenal       | TXD  |
| 1269 | 5513  | 899  | 4F5 | Z9  | Jr  | triennunbinbieleven               | triennunbinbielevenary              | TRIB |
| 1270 | 5514  | 89E  | 4F6 | ZA  | Js  | decunennabisept                   | decunennabiseptimal                 | DBS  |
| 1271 | 5515  | 89X  | 4F7 | ZB  | Jt  | henpentahexasnunpentoct           | henpentahexasnunpentoctal           | HPNT |
| 1272 | 5520  | 8E0  | 4F8 | ZC  | Ju  | tetrahexuntetraker's dozen        | tetrahexuntetraker's dozenal        | TKD  |
| 1273 | 5521  | 8E1  | 4F9 | ZD  | Jv  | hentrihexasnunhexeleven           | hentrihexasnunhexelevenary          | HHV  |
| 1274 | 5522  | 8E2  | 4FA | ZE  | Jw  | bibakerheptasept                  | bibakerheptaseptimal                | BPM  |
| 1275 | 5523  | 8E3  | 4FB | ZF  | Jx  | pentapentatrisubopt               | pentapentatrisuboptimal             | PRB  |
| 1276 | 5524  | 8E4  | 4FC | ZG  | Jy  | hentetraheptasnatetreleven        | hentetraheptasnatetrelevenary       | HSV  |
| 1277 | 5525  | 8E5  | 4FD | ZH  | Jz  | unhentetraheptasnatetreleven      | unhentetraheptasnatetrelevenary     | UPL  |
| 1278 | 5530  | 8E6  | 4FE | ZI  | J-  | trihexunheptages                  | trihexunheptagesimal                | TXG  |
| 1279 | 5531  | 8E7  | 4FF | ZJ  | J_  | untrihexunheptages                | untrihexunheptagesimal              | URG  |
| 1280 | 5532  | 8E8  | 500 | ZK  | K0  | icosioctoct                       | icosioctoctal                       | ICC  |
| 1281 | 5533  | 8E9  | 501 | ZL  | K1  | triheptunhexages                  | triheptunhexagesimal                | TPG  |
| 1282 | 5534  | 8EE  | 502 | ZM  | K2  | binicositetroct                   | binicositetroctal                   | BCC  |
| 1283 | 5535  | 8EX  | 503 | ZN  | K3  | unbinicositetroct                 | unbinicositetroctal                 | UNBN |
| 1284 | 5540  | 8X0  | 504 | ZO  | K4  | dozunbintetraker's dozen          | dozunbintetraker's dozenal          | DZR  |
| 1285 | 5541  | 8X1  | 505 | ZP  | K5  | pentuntesserhex                   | pentuntesserhex                     | PSS  |
| 1286 | 5542  | 8X2  | 506 | ZQ  | K6  | binhexunbintetraker's dozen       | binhexunbintetraker's dozenal       | BXD  |
| 1287 | 5543  | 8X3  | 507 | ZR  | K7  | bakerenneleven                    | bakerennelevenary                   | BLR  |
| 1288 | 5544  | 8X4  | 508 | ZS  | K8  | henbilevasnaheptoct               | henbilevasnaheptoctal               | HLC  |
| 1289 | 5545  | 8X5  | 509 | ZT  | K9  | unhenbilevasnaheptoct             | unhenbilevasnaheptoctal             | UVT  |
| 1290 | 5550  | 8X6  | 50A | ZU  | KA  | pentahexunhexasept                | pentahexunhexaseptimal              | PHH  |
| 1291 | 5551  | 8X7  | 50B | ZV  | KB  | unpentahexunhexasept              | unpentahexunhexaseptimal            | UPM  |
| 1292 | 5552  | 8X8  | 50C | ZW  | KC  | hentrihexasnatetrasubopt          | hentrihexasnatetrasuboptimal        | HNRH |
| 1293 | 5553  | 8X9  | 50D | ZX  | KD  | trindecunhexasept                 | trindecunhexaseptimal               | TDH  |
| 1294 | 5554  | 8XE  | 50E | ZY  | KE  | binhentrihexasnabisubopt          | binhentrihexasnabisuboptimal        | BSM  |
| 1295 | 5555  | 8XX  | 50F | ZZ  | KF  | pentaheptunnift                   | pentaheptunniftimal                 | PPF  |
| 1296 | 10000 | 900  | 510 | 100 | KG  | fetanift                          | fetaniftimal                        | FET  |
| 1297 | 10001 | 901  | 511 | 101 | KH  | unfetanift                        | unfetaniftimal                      | UFT  |
| 1298 | 10002 | 902  | 512 | 102 | KI  | bilevunbintetrasept               | bilevunbintetraseptimal             | BVB  |
| 1299 | 10003 | 903  | 513 | 103 | KJ  | trindozanift                      | trindozaniftimal                    | TDF  |
| 1300 | 10004 | 904  | 514 | 104 | KK  | bakercent                         | bakercentesimal                     | BAM  |
| 1301 | 10005 | 905  | 515 | 105 | KL  | unbakercent                       | unbakercentesimal                   | UKC  |
| 1302 | 10010 | 906  | 516 | 106 | KM  | henpentahexasnahexasept           | henpentahexasnahexaseptimal         | HEPH |
| 1303 | 10011 | 907  | 517 | 107 | KN  | unhenpentahexasnahexasept         | unhenpentahexasnahexaseptimal       | UXM  |
| 1304 | 10012 | 908  | 518 | 108 | KO  | octunennatrisex                   | octunennatriseximal                 | OTR  |
| 1305 | 10013 | 909  | 519 | 109 | KP  | hentetraheptasnapentanon          | hentetraheptasnapentanonary         | HTRH |
| 1306 | 10014 | 90E  | 51A | 10A | KQ  | bintetrunennatrisex               | bintetrunennatriseximal             | BSX  |
| 1307 | 10015 | 90X  | 51B | 10B | KR  | unbintetrunennatrisex             | unbintetrunennatriseximal           | USM  |
| 1308 | 10020 | 910  | 51C | 10C | KS  | dozunennadozen                    | dozunennadozenal                    | DZZ  |
| 1309 | 10021 | 911  | 51D | 10D | KT  | malhepteleven                     | malheptelevenary                    | MHL  |
| 1310 | 10022 | 912  | 51E | 10E | KU  | decundecaker's dozen              | decundecaker's dozenal              | DDC  |
| 1311 | 10023 | 913  | 51F | 10F | KV  | henbilevasnatrintrisex            | henbilevasnatrintriseximal          | HENB |
| 1312 | 10024 | 914  | 520 | 10G | KW  | tetroctunpentoct                  | tetroctunpentoctal                  | TERC |
| 1313 | 10025 | 915  | 521 | 10H | KX  | bakeruncent                       | bakeruncentesimal                   | BAKC |
| 1314 | 10030 | 916  | 522 | 10I | KY  | trihexunoctonon                   | trihexunoctononary                  | TIHX |
| 1315 | 10031 | 917  | 523 | 10J | KZ  | pentunbindecaker's dozen          | pentunbindecaker's dozenal          | PBD  |
| 1316 | 10032 | 918  | 524 | 10K | Ka  | tetraheptunbinbieleven            | tetraheptunbinbielevenary           | TTRT |
| 1317 | 10033 | 919  | 525 | 10L | Kb  | trinhexunoctonon                  | trinhexunoctononary                 | TRNX |
| 1318 | 10034 | 91E  | 526 | 10M | Kc  | binbiheptunbinbieleven            | binbiheptunbinbielevenary           | BVR  |
| 1319 | 10035 | 91X  | 527 | 10N | Kd  | unbinbiheptunbinbieleven          | unbinbiheptunbinbielevenary         | UPV  |
| 1320 | 10040 | 920  | 528 | 10O | Ke  | icosihexeleven                    | icosihexelevenary                   | ICX  |
| 1321 | 10041 | 921  | 529 | 10P | Kf  | unicosihexeleven                  | unicosihexelevenary                 | UIH  |
| 1322 | 10042 | 922  | 52A | 10Q | Kg  | binicositrieleven                 | binicositrielevenary                | BSL  |
| 1323 | 10043 | 923  | 52B | 10R | Kh  | triennaheptasept                  | triennaheptaseptimal                | TNNP |
| 1324 | 10044 | 924  | 52C | 10S | Ki  | tetrunlevapentasex                | tetrunlevapentaseximal              | TVT  |
| 1325 | 10045 | 925  | 52D | 10T | Kj  | pentapentuntetraker's dozen       | pentapentuntetraker's dozenal       | PTK  |
| 1326 | 10050 | 926  | 52E | 10U | Kk  | malhexaker's dozen                | malhexaker's dozenal                | MHK  |
| 1327 | 10051 | 927  | 52F | 10V | Kl  | unmalhexaker's dozen              | unmalhexaker's dozenal              | UMK  |
| 1328 | 10052 | 928  | 530 | 10W | Km  | tesserunbinpentoct                | tesserunbinpentoctal                | TSSN |
| 1329 | 10053 | 929  | 531 | 10X | Kn  | trinmalbiker's dozen              | trinmalbiker's dozenal              | TMB  |
| 1330 | 10054 | 92E  | 532 | 10Y | Ko  | hentrihexasnaheptages             | hentrihexasnaheptagesimal           | HHG  |
| 1331 | 10055 | 92X  | 533 | 10Z | Kp  | levaleveleven                     | levalevelevenary                    | LLV  |
| 1332 | 10100 | 930  | 534 | 110 | Kq  | fetunnift                         | fetunniftimal                       | FEN  |
| 1333 | 10101 | 931  | 535 | 111 | Kr  | henpentahexasnunhexasept          | henpentahexasnunhexaseptimal        | HNPH |
| 1334 | 10102 | 932  | 536 | 112 | Ks  | hentetraheptasnabinbieleven       | hentetraheptasnabinbielevenary      | HETP |
| 1335 | 10103 | 933  | 537 | 113 | Kt  | tripentunocteleven                | tripentunoctelevenary               | TRPT |
| 1336 | 10104 | 934  | 538 | 114 | Ku  | octunbinbinpentoct                | octunbinbinpentoctal                | OBB  |
| 1337 | 10105 | 935  | 539 | 115 | Kv  | heptundecuntrisex                 | heptundecuntriseximal               | HCR  |
| 1338 | 10110 | 936  | 53A | 116 | Kw  | hexunhexunnift                    | hexunhexunniftimal                  | HXNH |
| 1339 | 10111 | 937  | 53B | 117 | Kx  | bakerunhexasubopt                 | bakerunhexasuboptimal               | BARH |
| 1340 | 10112 | 938  | 53C | 118 | Ky  | icosinhexeleven                   | icosinhexelevenary                  | IOX  |
| 1341 | 10113 | 939  | 53D | 119 | Kz  | ennuntetrunnift                   | ennuntetrunniftimal                 | ERN  |
| 1342 | 10114 | 93E  | 53E | 11A | K-  | bilevunhexages                    | bilevunhexagesimal                  | BLX  |
| 1343 | 10115 | 93X  | 53F | 11B | K_  | malunhexaker's dozen              | malunhexaker's dozenal              | MNK  |
| 1344 | 10120 | 940  | 540 | 11C | L0  | tesserheptadozen                  | tesserheptadozenal                  | TPD  |
| 1345 | 10121 | 941  | 541 | 11D | L1  | pentuntetrunhexeleven             | pentuntetrunhexelevenary            | PRX  |
| 1346 | 10122 | 942  | 542 | 11E | L2  | bintesserhexasept                 | bintesserhexaseptimal               | BSH  |
| 1347 | 10123 | 943  | 543 | 11F | L3  | trintessertetrasept               | trintessertetraseptimal             | TINT |
| 1348 | 10124 | 944  | 544 | 11G | L4  | tetruntessertrisept               | tetruntessertriseptimal             | TENT |
| 1349 | 10125 | 945  | 545 | 11H | L5  | hentrihexasnunheptages            | hentrihexasnunheptagesimal          | HSG  |
| 1350 | 10130 | 946  | 546 | 11I | L6  | pentahexapentanon                 | pentahexapentanonary                | PXR  |
| 1351 | 10131 | 947  | 547 | 11J | L7  | heptundozahex                     | heptundozahex                       | HTZ  |
| 1352 | 10132 | 948  | 548 | 11K | L8  | bakeroctoker's dozen              | bakeroctoker's dozenal              | BTD  |
| 1353 | 10133 | 949  | 549 | 11L | L9  | trilevunpentoct                   | trilevunpentoctal                   | TLC  |
| 1354 | 10134 | 94E  | 54A | 11M | LA  | binbakertetraker's dozen          | binbakertetraker's dozenal          | BSD  |
| 1355 | 10135 | 94X  | 54B | 11N | LB  | pentundecatrinon                  | pentundecatrinonary                 | PDR  |
| 1356 | 10140 | 950  | 54C | 11O | LC  | dozunheptahex                     | dozunheptahex                       | DPH  |
| 1357 | 10141 | 951  | 54D | 11P | LD  | henbilevasnunbintetrasept         | henbilevasnunbintetraseptimal       | HENL |
| 1358 | 10142 | 952  | 54E | 11Q | LE  | biheptunoctodozen                 | biheptunoctodozenal                 | BPD  |
